,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,A.3_Expected Annual Damage,A.3_Dike Investment Costs,A.3_Expected Number of Deaths,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,A.5_Expected Annual Damage,A.5_Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
703,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,3,2,2,0,0,0,6,7,5,2,0,6,0,7,6,0.0,127568368.5380355,0.0,19014694.095836423,0.0,0.021843835420997333,0.0,117836656.71301767,0.0,0.0,20793414.8415654,0.0,0.0,95146224.41557565,0.0,952800000.0,0.0
704,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,5,0,0,2,5,0,0,7,0,3,0.0,88429031.37443781,0.0,1135497.4566361485,113553565.23269883,0.0013744422392341356,87955818.25616404,22167818.198803753,0.19232856708627782,0.0,11068771.68625446,0.0,0.0,82593104.13074732,0.0,169200000.0,0.0
705,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,3,7,7,1,3,2,2,0,0,0,0,0,0,0,1,2,0.0,206678445.68097684,0.0,0.0,145853711.31024387,0.0,51899454.51311727,0.0,0.013686183896267958,2907273.96771258,0.0,0.00020862079461181322,2589129.4979342567,53557815.768892445,0.00034316782916149496,982100000.0,3263.65163060231
706,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,6,2,5,4,0,1,7,1,7,0,0,0,0,129363808.0791223,60717312.84309486,0.039630437011159474,0.0,173865304.48421052,0.0,0.0,55690229.411618516,0.0,0.0,21069784.935395602,0.0,50105622.91224493,0.0,0.020105367869445626,61400000.0,2860.736579046805
707,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,5,0,4,0,0,1,0,5,5,0,4,7,1,0,2,0.0,110573595.57493308,0.0,47666788.13069523,38245121.951764055,0.05488224040553424,19624339.509102102,62865075.42438113,0.0424243944400351,0.0,26008389.578208447,0.0,0.0,53557815.768892445,0.0,1419400000.0,0.0
708,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,7,5,2,1,6,0,0,5,0,2,0,0,0,2,0.0,136422954.7271911,0.0,2020815.5340104583,156771475.39068466,0.0024004210035889753,24527569.23061128,28798397.130608946,0.053770707616952185,6565436.346896234,7332080.219521779,0.00412327676803733,78453424.23740233,27578229.96765524,0.08719109035942904,635500000.0,0.0
709,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,6,1,5,7,1,7,0,3,6,0,0,3,0,0,1,0.0,168998851.95855054,0.0,0.0,217627170.58040905,0.0,40716122.17882171,58926842.49039639,0.03200615726462824,8323476.52584601,8453407.696608048,0.0018356765925016149,59088815.999980696,25037214.086173728,0.023680786030881994,653400000.0,3635.3608673478147
710,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3,6,7,0,1,6,6,3,6,0,0,2,0,6,1,0.0,201647263.58598375,0.0,9689478.95370895,106547043.08732629,0.011205416139845766,0.0,103487455.29398324,0.0,11647321.268313989,7332080.219521779,0.007238775055573574,26285759.232067555,70903162.7249229,0.029045987206153555,363800000.0,0.0
711,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,7,2,10,0,1,4,7,0,4,0,0,0,4,6,3,0.0,243962816.33681333,0.0,15461603.409817323,93427003.66768599,0.00644283853853412,0.0,67626108.28683192,0.0,15560190.701848768,0.0,0.0034315141855390573,0.0,121916242.37064677,0.0,248500000.0,1150.4285510190518
712,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,4,5,3,1,3,2,1,5,5,6,7,7,3,2,4,0.0,166809149.72620058,0.0,4462179.948563961,136700503.7472634,0.005216268639414586,3785732.1850207453,85312516.46889904,0.008318927268551891,0.0,52106993.465831816,0.0,0.0,100337589.58996016,0.0,1146000000.0,0.0
713,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,2,2,6,0,2,5,0,1,1,0,3,2,0.0,177067681.2786764,0.0,3421037.2840904007,164158821.24202234,0.004083032637279235,48314798.65501899,52967973.44432734,0.10584436736862377,6429265.914874201,12857587.774250694,0.004075103267930317,10219258.673640821,60854576.45659251,0.011278927358993976,169200000.0,0.0
714,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,1,5,0,0,0,0,10,6,2,0,3,3,7,1,0.0,131919288.31926736,0.0,35640546.09632973,0.0,0.041026685324632536,11776024.618643094,88152583.3495194,0.025543511685404207,0.0,16373078.863592021,0.0,0.0,114267551.46554163,0.0,885500000.0,0.0
715,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,1,7,0,7,5,1,1,7,7,0,0,0,6,14405365.008433672,66507014.9338145,0.0015168729946742608,0.0,166071355.5283289,0.0,0.0,77644475.05391562,0.0,0.0,32304948.475029543,0.0,84004984.39752574,40273672.383724004,0.011233288706304287,286800000.0,6776.627749066892
716,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,3,4,1,2,1,6,7,1,1,5,1,0,1,0,0,1,0.0,129316563.19491181,0.0,3334565.357600883,199302948.34470654,0.0004663387308976862,1034534.9555870624,72092374.52729654,0.0002713131236430204,3221804.300387527,12857587.774250694,0.0002555203764113017,104350497.99501294,25037214.086173728,0.013976648152286664,619900000.0,8577.300970236818
717,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,2,1,3,7,5,0,1,0,3,0,4,0,0,1,0.0,72222705.9376919,0.0,0.0,212068525.36524838,0.0,10465407.599356052,20299287.62732069,0.022782002369519758,0.0,19176830.963968083,0.0,4991708.747349253,25037214.086173728,0.005509457967322532,831600000.0,0.0
718,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,7,1,6,5,1,0,4,0,1,1,1,4,0,0,3,0.0,188945475.6704826,0.0,0.0,104651657.86617124,0.0,0.0,49622725.1402255,0.0,925759.6799236551,23226689.948099688,0.0006008229262396056,90554033.39467916,30351526.042379983,0.10113235726282936,658200000.0,0.0
719,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,5,3,0,0,0,4,5,1,0,0,0,0,1,0.0,124231115.41096926,0.0,0.0,47842699.56310011,0.0,6260529.775787298,59344433.82549998,0.013553841185976698,2002024.6180874403,6320800.309666242,0.0012990086153249136,104744719.3273372,25037214.086173728,0.11694563871553446,1227000000.0,0.0
720,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,5,6,3,3,6,9,3,0,7,3,3,1,0,7202682.504216836,130919728.8845366,0.006320304144476086,0.0,189309949.4694295,0.0,0.0,121133942.25001207,0.0,1627340.2950776408,24956580.074387155,0.000987645228435112,0.0,58044072.09764524,0.0,273100000.0,0.0
721,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,7,7,6,0,1,4,1,3,6,0,4,0,0,0,3,0.0,251532079.62498075,0.0,15461603.409817323,93427003.66768599,0.017896773718150332,4697578.6641177,81239710.74584582,0.01028603692976036,4682180.253398026,9695195.36216505,0.002790244877001643,69219689.77681164,30351526.042379983,0.07687518467180607,635500000.0,0.0
722,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,7,10,5,4,2,3,0,9,0,6,2,5,7,5,7,0.0,284017561.51690406,0.0,0.0,160865206.22185197,0.0,39641019.601145044,40609051.370577164,0.010378103966118487,0.0,36038529.368792966,0.0,0.0,156735727.500019,0.0,302400000.0,2159.638187208504
723,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,6,0,3,7,0,0,1,0,0,3,0.0,111738176.02288951,0.0,27094262.01754796,106547043.08732629,0.031290658104112704,33396707.67649287,62048975.90137317,0.07219689952297993,9843888.126593774,6320800.309666242,0.006094497341762157,30732474.176024623,30351526.042379983,0.033931338931213195,435600000.0,0.0
724,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,6,1,2,4,5,0,6,0,0,0,0,5,7,0.0,60717312.84309486,0.0,7089484.6327187605,141544218.4474694,0.008386296922308233,0.0,65941184.48239788,0.0,9240295.648365945,0.0,0.005724758628246864,37504597.4703013,88954800.96600011,0.04149722380388483,691700000.0,0.0
725,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,6,5,5,2,1,2,0,1,3,0,8,10,0,4,1,0.0,204851657.20973802,0.0,2025950.139508045,131081471.76130262,0.0008683600719381016,27399109.5337976,45324187.55237766,0.02161773046331472,345868.45181684545,42779651.3623051,7.26321020797272e-05,0.0,62015940.60605301,0.0,583100000.0,799.9844426705205
726,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,5,5,2,0,0,4,0,9,7,9,3,4,5,6,7,0.0,169951219.49086463,0.0,29464677.009241667,53358573.6002109,0.012208649542196252,9720966.595113048,86914327.30172125,0.007616666859209339,0.0,44092295.434644,0.0,0.0,148272769.57716328,0.0,764300000.0,1206.9450884051785
727,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,7,4,5,0,5,3,3,5,0,6,3,4,7,0,0,0.0,206781014.31771147,0.0,20572526.113147274,116004983.79615441,0.023591582301421537,0.0,56050655.355505094,0.0,0.0,36046598.4426796,0.0,0.0,44193513.54513965,0.0,1032400000.0,0.0
728,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,3,5,4,0,1,0,6,4,0,1,2,0,5,0,0.0,101988088.03595176,0.0,0.0,97105266.60422453,0.0,12263784.61530564,63699598.27434066,0.0032262424570171314,7983288.066401735,13903423.98391871,0.0006043347186920937,27549412.09281151,36676675.840294495,0.00365626778416176,333100000.0,3478.677420530139
729,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,10,0,7,2,0,0,2,0,0,3,0,0,0,0.0,138973384.07292515,0.0,10976355.356150331,127487673.07826531,0.012627984346857166,21765482.83531058,22167818.198803753,0.04766954767308049,10044230.963428052,8453407.696608048,0.006077938885268065,93174940.6617991,0.0,0.10337211676337899,333100000.0,0.0
730,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,3,7,6,5,0,3,5,5,0,3,0,0,0,0,1,3,0.0,228491983.66798556,0.0,6354913.596108067,113553565.23269883,0.0008783112058838056,0.0,57423135.62296812,0.0,16152921.800179303,0.0,0.0012000670300653972,33409586.610156715,56425877.743436806,0.004442595360186954,448400000.0,4398.212710420569
731,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,10,2,2,3,0,0,0,0,0,6,4,1,5,0.0,278761174.70353365,0.0,3421037.2840904007,143337996.68440405,0.004083032637279235,118923058.80343513,0.0,0.25945259915296215,5708431.690938908,12586457.998778107,0.0033910617365882955,0.0,105402123.21439943,0.0,84600000.0,0.0
732,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,2,0,0,0,5,1,1,7,4,1,0,0,6,129363808.0791223,37255203.23710208,0.013210145670386492,34734882.168802425,0.0,0.004746051184912642,0.0,77644475.05391562,0.0,0.0,35674824.158580944,0.0,0.0,40273672.383724004,0.0,377300000.0,4352.595423558696
733,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,3,6,7,7,5,7,0,0,3,0,7,0,129363808.0791223,60717312.84309486,0.11008454725322078,0.0,220095552.17539835,0.0,0.0,121872393.88035336,0.0,259713.139856576,8453407.696608048,0.00015008969035528195,3680156.6997006354,44193513.54513965,0.004075270900280026,286800000.0,0.0
734,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,8,7,5,0,0,1,0,1,3,3,1,0,0,6,2,0.0,254793986.62947148,0.0,47666788.13069523,38245121.951764055,0.05488224040553424,19658242.15219334,45324187.55237766,0.04255881788961964,0.0,15444563.06553661,0.0,4446714.943957068,74011736.27191554,0.004885351725059644,994100000.0,0.0
735,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,3,2,2,2,3,0,3,9,4,5,6,7,1,6,64681904.03956115,83497824.69174261,0.006605072835193246,0.0,143337996.68440405,0.0,0.0,69113893.35624374,0.0,0.0,39386978.83963405,0.0,0.0,128563448.37726545,0.0,286800000.0,1018.1992982270364
736,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,3,2,1,0,7,2,0,1,6,0,0,3,0,0,1,0.0,122173820.17753592,0.0,6321549.1344495425,127487673.07826531,0.007243296898299825,2687731.7282302743,52771009.1301844,0.005806344851920972,3874355.3378299996,8453407.696608048,0.0023214583127341704,28676991.492230497,25037214.086173728,0.03181719967112752,958900000.0,0.0
737,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,2,2,2,0,1,1,7,3,9,1,2,0,0.0,204851657.20973802,0.0,3421037.2840904007,137590968.2071998,0.004083032637279235,60807703.74717703,41292219.28177295,0.1336381802841395,0.0,50346299.58309312,0.0,0.0,53557815.768892445,0.0,217800000.0,0.0
738,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,7,5,10,6,3,1,0,1,0,7,0,7,4,7,4,0.0,278761174.70353365,0.0,0.0,176323444.558819,0.0,42077337.01276208,20299287.62732069,0.09277893140517414,0.0,32304948.475029543,0.0,0.0,132229761.24088266,0.0,679700000.0,0.0
739,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,2,4,2,3,6,0,1,0,0,0,0,0.0,88511693.9986257,0.0,7089484.6327187605,141544218.4474694,0.008386296922308233,7598676.476197281,85190627.71842328,0.016938374966878646,10425816.346474387,6320800.309666242,0.006656704740199821,107759411.54278156,0.0,0.11961588410653072,84600000.0,0.0
740,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,5,0,0,0,0,10,1,2,3,3,3,7,1,7202682.504216836,124231115.41096926,0.0022753094920113914,44197015.5138625,0.0,0.01831297431329438,9720966.595113048,72620605.72235334,0.007616666859209339,0.0,26372924.31264166,0.0,0.0,114267551.46554163,0.0,377300000.0,1753.8031630134874
741,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,0,0,1,9,1,4,0,1,9,1,6,7,2,1,7,136566490.58333915,32694901.094161935,0.013968582167723623,0.0,216408305.29779762,0.0,0.0,62295985.03000632,0.0,0.0,37380645.04128443,0.0,0.0,103236239.427364,0.0,408000000.0,2185.0781147631824
742,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,9,6,6,1,4,0,1,1,1,3,0,0,0,71884586.54377799,120872818.04831296,0.061362577771086474,0.0,204079832.51039457,0.0,0.0,49622725.1402255,0.0,0.0,21898586.41832094,0.0,88427958.41130717,0.0,0.09857834279111458,573600000.0,0.0
743,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,7,6,2,1,1,7,1,2,0,2,5,0,1,1,0.0,144956226.29360634,0.0,3988786.012408475,126023155.50766163,0.004770253756896303,0.0,88907672.34606405,0.0,3543348.927735201,19170235.12681486,0.0022151099819075677,71105437.96872438,50929971.20054293,0.07941043090307091,860900000.0,0.0
744,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,3,6,3,1,2,0,0,1,3,2,1,0,0,7,0.0,145883058.26646656,0.0,0.0,139121779.80099735,0.0,13577187.966513054,20299287.62732069,0.029454242797562914,0.0,24040200.774297733,0.0,82436989.55456807,44193513.54513965,0.09172713607641174,535300000.0,0.0
745,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,7,1,5,1,1,5,1,0,6,1,0,0,0,0,1,0.0,180120614.91322458,0.0,9942773.188491087,141336773.52795565,0.001413853012796448,23870813.147776857,52771009.1301844,0.006360918268984897,2485141.4924174063,6320800.309666242,0.00019651450207181442,98896980.32502143,25037214.086173728,0.013201914000284663,558500000.0,9773.473600490472
746,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,2,0,5,3,7,1,3,1,4,0,3,0,0,2,3,0.0,94979303.71425684,0.0,0.0,182451541.5219873,0.0,0.0,76851682.0937924,0.0,3175880.7296098936,8453407.696608048,0.0019900082840926293,50054907.83335546,60039471.119519606,0.055702178886747084,807000000.0,0.0
747,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,2,8,0,6,1,8,6,7,7,1,5,3,0,0,7,0.0,118857792.03722039,0.0,0.0,215661674.79071262,0.0,0.0,126230340.73617607,0.0,1271903.0133602456,28109350.119659707,0.0008414837764198311,34813072.086646155,44193513.54513965,0.03866157890656621,515700000.0,0.0
748,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,3,1,5,8,3,3,0,0,2,0,6,1,0.0,88511693.9986257,0.0,0.0,158100185.72330248,0.0,0.0,103963903.78574432,0.0,11994256.727015484,7332080.219521779,0.007548447335382797,27549412.09281151,70903162.7249229,0.030468898201348002,115300000.0,0.0
749,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,2,1,5,0,0,0,0,5,5,2,0,0,5,7,1,0.0,131919288.31926736,0.0,44197015.5138625,0.0,0.05086937309248438,9704309.24291596,62865075.42438113,0.021091361801324857,0.0,7332080.219521779,0.0,0.0,126425650.3717125,0.0,1456000000.0,0.0
750,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,7,6,4,0,0,3,2,3,6,0,3,0,0,0,0,0.0,219012720.1300152,0.0,29464677.009241667,47842699.56310011,0.033912915394989585,0.0,85190627.71842328,0.0,0.0,8453407.696608048,0.0,17873261.80764464,0.0,0.01989145846341785,1105000000.0,0.0
751,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,5,4,6,0,4,1,1,1,1,4,0,0,4,0.0,88511693.9986257,0.0,0.0,128904282.88717857,0.0,0.0,73635495.64465328,0.0,2119364.609831048,23226689.948099688,0.0014143471934018315,84557167.4970442,33377116.55719709,0.09427406654219724,837700000.0,0.0
752,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,3,1,6,0,7,0,6,5,1,2,3,7,8,0,0,6,0.0,95486976.46933737,0.0,0.0,156873190.62123483,0.0,0.0,79930357.93587255,0.0,0.0,46769420.62925812,0.0,35746523.61528928,40273672.383724004,0.004773950031220284,997200000.0,2760.044132017597
753,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,5,4,9,3,4,0,0,5,3,1,0,1,5,1,1,0.0,225945003.33461732,0.0,0.0,106860238.4866137,0.0,17299818.17103909,57423135.62296812,0.013686183896267957,559338.3342789579,12857587.774250694,0.00013218237146023025,0.0,96923603.35265538,0.0,1030700000.0,475.79107089117326
754,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,6,1,5,0,2,1,0,6,1,0,0,0,0,0,2,0.0,168998851.95855054,0.0,24561312.125555746,83721931.52190953,0.028361836058317838,19658242.15219334,56232105.137590505,0.04255881788961964,6894195.078106998,0.0,0.004252840472069894,44478618.13574629,27578229.96765524,0.04922839751933338,994100000.0,0.0
755,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,6,6,5,2,2,4,0,0,7,0,0,0,0,0,0,0.0,215771944.13273668,0.0,3421037.2840904007,149647330.68142024,0.0004899639164735081,79282039.20229009,34221561.73832255,0.020756207932236974,11188045.306547206,0.0,0.000816698685039564,47987929.44009315,0.0,0.006363210350320314,822600000.0,9244.511501038465
756,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,2,6,0,0,0,7,2,2,0,0,3,0,7,7,0.0,102192937.55533153,0.0,26798207.23266951,0.0,0.01110522851208649,0.0,92262765.08401714,0.0,1190006.9793252205,8453407.696608048,0.00025001693768282894,0.0,100105457.62015328,0.0,1012800000.0,915.2674630108543
757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,7,2,4,4,0,7,0,1,1,0,0,3,0.0,118999454.50282377,0.0,0.0,199687284.91196936,0.0,0.0,65547722.11683032,0.0,9135880.467778897,12857587.774250694,0.005882115344142419,72085999.75641638,30351526.042379983,0.08006788835670478,0.0,0.0
758,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7,10,5,2,2,2,0,0,0,0,7,7,0,3,6,0.0,284017561.51690406,0.0,3421037.2840904007,137590968.2071998,0.004083032637279235,85244858.13127472,0.0,0.18669035864505726,1745935.6942077186,32304948.475029543,0.0010397497524390188,23149834.15430337,74896439.20493636,0.025529399901026234,558500000.0,0.0
759,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,6,2,2,0,0,1,7,2,1,0,2,0,0.0,154539421.81426284,0.0,0.0,174450713.08138555,0.0,91774944.29444812,20299287.62732069,0.20076221235082384,0.0,32090609.224667348,0.0,11482911.534384781,27578229.96765524,0.012701838354188427,217800000.0,0.0
760,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,2,0,1,0,2,0,0,6,6,1,7,1,0,0,7,4,79087269.04799482,32694901.094161935,0.010152432287334387,0.0,42818415.6714978,0.0,0.0,100190825.2681444,0.0,0.0,22258486.725668453,0.0,3680156.6997006354,86420965.59927613,0.000611290635042004,604300000.0,1288.5872061745918
761,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,3,0,2,5,0,6,2,0,0,3,6,7,0,0,1,2,64681904.03956115,94979303.71425684,0.006605072835193246,523259.61464288726,118427379.06875929,7.031156557574146e-05,3708800.468845087,24198032.45136138,0.0009616673060647962,0.0,30033571.88243507,0.0,5013479.902244459,53557815.768892445,0.0006710190288257206,694800000.0,1643.699771750757
762,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,3,7,1,3,0,7,6,3,0,6,0,1,0,0,0,1,0.0,164837270.4882678,0.0,6354913.596108067,156873190.62123483,0.0008783112058838056,0.0,58926842.49039639,0.0,10436169.281706126,6320800.309666242,0.0008001473521677066,84179900.4967319,25037214.086173728,0.011226800160075741,363800000.0,7803.906061930395
763,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,7,7,3,4,6,6,0,2,2,0,0,0,0,0,3,0.0,222039100.28507614,0.0,0.0,221323773.52859193,0.0,13319485.286765538,45876507.22344398,0.029230218237883476,16310925.00601488,0.0,0.010106025424551498,55098824.18562302,30351526.042379983,0.060937796402696004,635500000.0,0.0
764,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,5,1,0,0,0,1,7,4,0,4,3,7,6,0.0,147343878.22871023,0.0,16104716.392305795,38245121.951764055,0.018897284023076277,29538205.92795535,55690229.411618516,0.06480183315182841,0.0,20785047.17797311,0.0,0.0,135588522.16120803,0.0,544800000.0,0.0
765,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,9,0,0,3,7,6,7,7,0,6,3,0,0,0,0.0,136598613.0637709,0.0,10976355.356150331,128933649.86623067,0.012627984346857166,0.0,126230340.73617607,0.0,1958111.0955029544,22928006.72310114,0.00116009823457462,115805949.46929914,0.0,0.1288692722097596,504600000.0,0.0
766,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,6,2,3,0,1,9,0,6,7,0,1,3,0.0,217198541.196981,0.0,0.0,181024453.14671123,0.0,52133924.69330308,62295985.03000632,0.11427801263316979,2854215.845469454,30033571.88243507,0.0016955308682941477,22908520.405081846,56425877.743436806,0.02548381677102058,169200000.0,0.0
767,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,7,6,2,7,0,0,2,0,1,5,0,1,0,0.0,144075745.84278923,0.0,0.0,214352832.97455466,0.0,65489283.26354233,22167818.198803753,0.14376330617059,1745935.6942077186,17767801.395336673,0.0010397497524390188,43031398.70319171,25037214.086173728,0.047791274740397904,340700000.0,0.0
768,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,0,6,1,0,3,1,0,3,0,0,0,1,0.0,254731999.49716675,0.0,20572526.113147274,112832601.01821715,0.023591582301421537,34471810.25416954,46650169.32145682,0.07461869220707101,2028956.201259358,8453407.696608048,0.0011750313878656291,68242554.59216967,25037214.086173728,0.07629130602261684,302400000.0,0.0
769,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,5,1,9,1,7,5,0,1,1,1,0,3,3,1,7,0.0,196957387.88847846,0.0,4485248.053666991,191797612.60811666,0.005268789371293166,21797856.862547044,41292219.28177295,0.04781559829459077,1358094.23109766,15063068.18035096,0.0008873936276455802,0.0,108594834.42143403,0.0,504600000.0,0.0
770,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,2,0,0,1,0,8,4,10,6,1,6,0,2,0,0,6,0.0,32694901.094161935,0.0,11880182.032109909,151091418.57393533,0.002051334266231627,0.0,122902799.53588344,0.0,0.0,21556221.14781617,0.0,6109909.467420475,40273672.383724004,0.0010136460002721798,1103300000.0,1017.2482496712046
771,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,8,4,5,0,0,1,7,3,4,5,2,1,0,6,1,0.0,219678615.6365205,0.0,47666788.13069523,38245121.951764055,0.05488224040553424,0.0,101783266.82547024,0.0,0.0,27738992.754302613,0.0,4446714.943957068,70903162.7249229,0.004885351725059644,643100000.0,0.0
772,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,5,6,1,7,4,6,2,2,6,0,1,1,0.0,76431543.68310125,0.0,0.0,192883917.5498058,0.0,0.0,113065055.38858135,0.0,598268.2450666757,29570831.9910252,0.0004092502388343023,75352112.24868222,50929971.20054293,0.0845118820054536,371400000.0,0.0
773,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,7,3,8,5,7,1,1,2,0,0,3,0,0,0,0.0,222039100.28507614,0.0,0.0,272482931.147082,0.0,21166684.146031983,65000908.30641317,0.01697543300393477,10760447.54287247,8453407.696608048,0.0023812820428474723,97844133.69846669,0.0,0.03910877952621457,302400000.0,4667.4497014583285
774,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,7,6,0,2,4,6,2,5,7,5,5,0,0,6,0.0,182604405.67073452,0.0,13906132.171617953,99885909.50154212,0.005791562310894005,0.0,96197621.79801805,0.0,0.0,44831030.76738851,0.0,2285538.3987612454,40273672.383724004,0.0009032857390982639,762600000.0,533.9699428388408
775,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,8,1,5,1,0,6,0,2,1,0,3,1,7,1,2,0.0,192107207.5726472,0.0,13043471.808801373,106547043.08732629,0.015398151605382332,37030968.44576192,43878096.290305056,0.08136125654480092,1745935.6942077186,15444563.06553661,0.0010397497524390188,0.0,111952814.85055783,0.0,691700000.0,0.0
776,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,1,1,5,1,1,0,9,4,6,7,0,0,0,136566490.58333915,32694901.094161935,0.013968582167723623,0.0,146472816.51148838,0.0,0.0,62295985.03000632,0.0,0.0,44049104.6165781,0.0,49362805.59816414,0.0,0.006594709369219349,317500000.0,5995.3560124037585
777,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,2,2,6,0,3,0,6,6,1,6,7,4,7,6,0.0,77099991.75787257,0.0,0.0,124573879.8096008,0.0,12138809.809749788,69810785.89520885,0.00950033903730543,0.0,37380645.04128443,0.0,0.0,142210150.0,0.0,748700000.0,321.79694852573175
